time_ms,packet_counter,timestamp_ms,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,baro1_pressure,baro1_height,baro2_pressure,baro2_height,tank_pressure,tank_temp_top,tank_temp_bottom,tank_temp_feeding,injector_pressure,injector_temp,chamber_pressure,battery_soc,battery_current,battery_voltage,state,gnss_north,gnss_east,gnss_speed,gnss_altitude
0,0,0,63,0,0,0,0,0,63,0,0,0,0,0,1013,0,1018,5,300,300,295,285,4000,350,2000,100,65,1134,2,37530,21140,701,0
100,1,100,63,0,0,0,0,0,63,0,0,0,0,0,1012,2,1018,8,300,300,295,285,4004,350,2000,99,65,1134,2,37530,21139,1403,2
200,2,200,63,0,0,0,0,0,63,0,0,0,0,0,1012,4,1019,11,300,300,295,285,4009,350,2001,99,65,1134,2,37531,21139,2104,4
300,3,300,62,0,0,0,0,0,63,0,0,0,0,0,1012,7,1020,15,300,300,295,285,4014,350,2001,99,65,1134,2,37532,21139,2803,7
400,4,400,62,0,0,0,0,0,63,0,0,0,0,0,1011,10,1020,19,300,300,295,285,4019,350,2002,99,65,1134,2,37533,21139,3500,10
500,5,500,62,0,0,0,0,0,63,0,0,0,0,0,1011,14,1021,24,300,300,295,285,4024,351,2003,99,65,1134,2,37534,21139,4194,14
600,6,600,62,0,0,0,0,0,62,0,0,0,0,0,1010,19,1021,30,300,300,295,285,4029,351,2003,99,65,1134,2,37535,21139,4885,19
700,7,700,61,0,0,0,0,0,62,0,0,0,0,0,1010,25,1022,37,300,300,295,285,4034,351,2004,99,65,1134,2,37536,21139,5573,25
799,8,799,61,0,0,0,0,0,62,0,0,0,0,0,1009,31,1022,44,300,300,295,285,4039,351,2005,99,65,1134,2,37537,21139,6256,31
899,9,899,61,0,0,0,0,0,61,0,0,0,0,0,1008,38,1022,52,300,300,295,285,4044,352,2005,99,65,1134,2,37538,21139,6934,38
999,10,999,60,0,0,0,0,0,61,0,0,0,0,0,1007,45,1022,60,300,300,295,285,4049,352,2006,99,65,1134,2,37539,21139,7606,45
1099,11,1099,59,0,0,0,0,0,60,0,0,0,0,0,1006,54,1012,60,300,300,295,285,4054,352,2007,99,65,1134,2,37540,21139,8272,54
1200,12,1200,59,0,0,0,0,0,59,0,0,0,0,0,1005,63,1012,70,300,300,295,285,4059,352,2007,99,65,1134,2,37541,21139,8932,63
1300,13,1300,58,0,0,0,0,0,59,0,0,0,0,0,1004,72,1012,80,300,300,295,285,4064,353,2008,99,65,1134,2,37542,21139,9585,72
1400,14,1400,58,0,0,0,0,0,58,0,0,0,0,0,1002,82,1011,91,300,300,295,285,4069,353,2009,99,65,1134,2,37543,21139,10231,82
